,geometry,crime,color
0,"POLYGON ((-73.58983070149999 45.4930685085, -73.58683070149999 45.4930685085, -73.58683070149999 45.4900685085, -73.58983070149999 45.4900685085, -73.58983070149999 45.4930685085))",128,yellow
1,"POLYGON ((-73.58683070149999 45.4930685085, -73.58383070149999 45.4930685085, -73.58383070149999 45.4900685085, -73.58683070149999 45.4900685085, -73.58683070149999 45.4930685085))",87,yellow
2,"POLYGON ((-73.58383070149999 45.4930685085, -73.58083070149999 45.4930685085, -73.58083070149999 45.4900685085, -73.58383070149999 45.4900685085, -73.58383070149999 45.4930685085))",84,yellow
3,"POLYGON ((-73.58083070149999 45.4930685085, -73.57783070149999 45.4930685085, -73.57783070149999 45.4900685085, -73.58083070149999 45.4900685085, -73.58083070149999 45.4930685085))",107,yellow
4,"POLYGON ((-73.57783070149999 45.4930685085, -73.57483070149999 45.4930685085, -73.57483070149999 45.4900685085, -73.57783070149999 45.4900685085, -73.57783070149999 45.4930685085))",30,purple
5,"POLYGON ((-73.57483070149999 45.4930685085, -73.57183070149999 45.4930685085, -73.57183070149999 45.4900685085, -73.57483070149999 45.4900685085, -73.57483070149999 45.4930685085))",0,purple
6,"POLYGON ((-73.57183070149999 45.4930685085, -73.56883070149999 45.4930685085, -73.56883070149999 45.4900685085, -73.57183070149999 45.4900685085, -73.57183070149999 45.4930685085))",0,purple
7,"POLYGON ((-73.56883070149999 45.4930685085, -73.56583070149999 45.4930685085, -73.56583070149999 45.4900685085, -73.56883070149999 45.4900685085, -73.56883070149999 45.4930685085))",0,purple
8,"POLYGON ((-73.56583070149999 45.4930685085, -73.56283070149999 45.4930685085, -73.56283070149999 45.4900685085, -73.56583070149999 45.4900685085, -73.56583070149999 45.4930685085))",0,purple
9,"POLYGON ((-73.56283070149999 45.4930685085, -73.55983070149999 45.4930685085, -73.55983070149999 45.4900685085, -73.56283070149999 45.4900685085, -73.56283070149999 45.4930685085))",0,purple
10,"POLYGON ((-73.55983070149999 45.4930685085, -73.55683070149999 45.4930685085, -73.55683070149999 45.4900685085, -73.55983070149999 45.4900685085, -73.55983070149999 45.4930685085))",0,purple
11,"POLYGON ((-73.55683070149999 45.4930685085, -73.55383070149999 45.4930685085, -73.55383070149999 45.4900685085, -73.55683070149999 45.4900685085, -73.55683070149999 45.4930685085))",12,purple
12,"POLYGON ((-73.55383070149999 45.4930685085, -73.55083070149999 45.4930685085, -73.55083070149999 45.4900685085, -73.55383070149999 45.4900685085, -73.55383070149999 45.4930685085))",44,purple
13,"POLYGON ((-73.58983070149999 45.4960685085, -73.58683070149999 45.4960685085, -73.58683070149999 45.4930685085, -73.58983070149999 45.4930685085, -73.58983070149999 45.4960685085))",59,yellow
14,"POLYGON ((-73.58683070149999 45.4960685085, -73.58383070149999 45.4960685085, -73.58383070149999 45.4930685085, -73.58683070149999 45.4930685085, -73.58683070149999 45.4960685085))",122,yellow
15,"POLYGON ((-73.58383070149999 45.4960685085, -73.58083070149999 45.4960685085, -73.58083070149999 45.4930685085, -73.58383070149999 45.4930685085, -73.58383070149999 45.4960685085))",69,yellow
16,"POLYGON ((-73.58083070149999 45.4960685085, -73.57783070149999 45.4960685085, -73.57783070149999 45.4930685085, -73.58083070149999 45.4930685085, -73.58083070149999 45.4960685085))",172,yellow
17,"POLYGON ((-73.57783070149999 45.4960685085, -73.57483070149999 45.4960685085, -73.57483070149999 45.4930685085, -73.57783070149999 45.4930685085, -73.57783070149999 45.4960685085))",32,purple
