,geometry,crime,color
0,"POLYGON ((-73.58983070149999 45.4920685085, -73.5878307015 45.4920685085, -73.5878307015 45.4900685085, -73.58983070149999 45.4900685085, -73.58983070149999 45.4920685085))",38,yellow
1,"POLYGON ((-73.5878307015 45.4920685085, -73.5858307015 45.4920685085, -73.5858307015 45.4900685085, -73.5878307015 45.4900685085, -73.5878307015 45.4920685085))",67,yellow
2,"POLYGON ((-73.5858307015 45.4920685085, -73.58383070150001 45.4920685085, -73.58383070150001 45.4900685085, -73.5858307015 45.4900685085, -73.5858307015 45.4920685085))",43,yellow
3,"POLYGON ((-73.58383070150001 45.4920685085, -73.58183070150001 45.4920685085, -73.58183070150001 45.4900685085, -73.58383070150001 45.4900685085, -73.58383070150001 45.4920685085))",45,yellow
4,"POLYGON ((-73.58183070150001 45.4920685085, -73.57983070150001 45.4920685085, -73.57983070150001 45.4900685085, -73.58183070150001 45.4900685085, -73.58183070150001 45.4920685085))",34,purple
5,"POLYGON ((-73.57983070150001 45.4920685085, -73.57783070150002 45.4920685085, -73.57783070150002 45.4900685085, -73.57983070150001 45.4900685085, -73.57983070150001 45.4920685085))",23,purple
6,"POLYGON ((-73.57783070150002 45.4920685085, -73.57583070150002 45.4920685085, -73.57583070150002 45.4900685085, -73.57783070150002 45.4900685085, -73.57783070150002 45.4920685085))",30,purple
7,"POLYGON ((-73.57583070150002 45.4920685085, -73.57383070150003 45.4920685085, -73.57383070150003 45.4900685085, -73.57583070150002 45.4900685085, -73.57583070150002 45.4920685085))",0,purple
8,"POLYGON ((-73.57383070150003 45.4920685085, -73.57183070150003 45.4920685085, -73.57183070150003 45.4900685085, -73.57383070150003 45.4900685085, -73.57383070150003 45.4920685085))",0,purple
9,"POLYGON ((-73.57183070150003 45.4920685085, -73.56983070150004 45.4920685085, -73.56983070150004 45.4900685085, -73.57183070150003 45.4900685085, -73.57183070150003 45.4920685085))",0,purple
